ID_UNIVERSITA;NOME;STATALE;VIA;CAP;COD_COMUNE;COMUNE;PROVINCIA;COD_TIPO_STRUTTURA_ATENEO;NOTA;ANNO_INTRODUZIONE;
T12;Conservatorio di Musica "CLAUDIO MONTEVERDI ";Statale;;;021008;BOLZANO - BOZEN;BZ;AFAM - CONS;Conservatorio di musica;;
T13;Conservatorio di Musica "DOMENICO CIMAROSA";Statale;;;064008;AVELLINO;AV;AFAM - CONS;Conservatorio di musica;;
T14;Conservatorio di Musica "EGIDIO R. DUNI";Statale;;;077014;MATERA;MT;AFAM - CONS;Conservatorio di musica;;
T15;Conservatorio di Musica "EX COLLEGIO LA SALLE";Statale;;;062008;BENEVENTO;BN;AFAM - CONS;Conservatorio di musica;;
T16;Conservatorio di Musica "FAUSTO TORREFRANCA ";Statale;;;102047;VIBO VALENTIA;VV;AFAM - CONS;Conservatorio di musica;;
T17;Conservatorio di Musica "FELICE E. DALL'ABACO";Statale;;;023091;VERONA;VR;AFAM - CONS;Conservatorio di musica;;
T18;Conservatorio di Musica "FRANCESCO ANTONIO BONPORTI " di RIVA DEL GARDA;Statale;;;022153;RIVA DEL GARDA;TN;AFAM - CONS;Conservatorio di musica;;
T19;Conservatorio di Musica "FRANCESCO ANTONIO BONPORTI" di TRENTO;Statale;;;022205;TRENTO;TN;AFAM - CONS;Conservatorio di musica;;
T20;Conservatorio di Musica "FRANCESCO CILEA";Statale;;;080063;REGGIO DI CALABRIA;RC;AFAM - CONS;Conservatorio di musica;;
T21;Conservatorio di Musica "FRANCESCO MORLACCHI";Statale;;;054039;PERUGIA;PG;AFAM - CONS;Conservatorio di musica;;
T22;Conservatorio di Musica "FRANCESCO VENEZZE";Statale;;;029041;ROVIGO;RO;AFAM - CONS;Conservatorio di musica;;
T23;Conservatorio di Musica "GESUALDO DA VENOSA";Statale;;;076063;POTENZA;PZ;AFAM - CONS;Conservatorio di musica;;
T24;Conservatorio di Musica "GIACOMO PUCCINI";Statale;;;011015;LA SPEZIA;SP;AFAM - CONS;Conservatorio di musica;;
T25;Conservatorio di Musica "GIOACCHINO ROSSINI";Statale;;;041044;PESARO;PU;AFAM - CONS;Conservatorio di musica;;
T26;Conservatorio di Musica "GIORGIO FEDERICO GHEDINI";Statale;;;004078;CUNEO;CN;AFAM - CONS;Conservatorio di musica;;
T27;Conservatorio di Musica "GIOVAN B.MARTINI";Statale;;;037006;BOLOGNA;BO;AFAM - CONS;Conservatorio di musica;;
T28;Conservatorio di Musica "GIOVANNI BATTISTA PERGOLESI";Statale;;;109006;FERMO;AP;AFAM - CONS;Conservatorio di musica;;
T29;Conservatorio di Musica "GIROLAMO FRESCOBALDI";Statale;;;038008;FERRARA;FE;AFAM - CONS;Conservatorio di musica;;
